Takt;Radar / Distanz (m);Breite (m);Reflektionsstaerke;Geschwindigkeit
1;40;0,86;0,09;122,08
2;40,3;0,92;0,087;121,72
3;40,5;0,85;0,084;126,4
4;42;0,88;0,06339375;128,92
5;44,2;0,77;0,0760725;129,28
6;46,5;0,85;0,065;122,8
7;47;0,76;0,071;122,08
8;47,3;0,81;0,075;121,72
9;47,5;0,73;0,07;119,2
10;47;0,78;0,08;125,32
11;48,2;0,82;0,081;126,4
12;49,7;0,87;0,064;126,4
13;51,2;0,69;0,062;127,48
14;53;0,72;0,07;126,76
15;54,6;0,79;0,064;126,76
16;56,2;0,81;0,058;127,48
17;58;0,75;0,052;128,56
18;60,1;0,74;0,049;130
